 Day ,Meal,,NON-VEG,COMPULSORY ITEMS
 Monday ,BREAKFAST,"Poha, Sambar and Jalebi",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Moong Dal, Malai Kofta, Cabbage with peas, Seasonal Fruits (2 types)",—,"Atta/Multigrain Roti, Curd, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Maggie, Ketchup",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Mix Dal, Mutter Masala, Boondi",Egg Butter Masala,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Fryums,Ghee"
 Tuesday ,BREAKFAST,Matar Poori and Sabzi,Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Rajma Dal, Dum Aloo Banarasi, Mix Veg Dry",—,"Atta/Multigrain Roti, Curd , Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Pyaz Kachori, Ketchup",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Khichdi, Dry Aloo Masala, Veg Chatpata",—,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Fryums,Ghee"
 Wednesday ,BREAKFAST,"Idli, Fried Idli/Medu Vada , Sambhar, Coconut Chutney, Tomato Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Masoor Dal, Kadhi pakoda, Aloo Spring Onion ",—,"Atta/Multigrain Roti, Lassi, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Dahi Vada, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Lasooni Dal Tadka, Veg Korma, Carrot Halwa",Chicken Butter Masala,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle,Fryums,Ghee"
 Thursday ,BREAKFAST,"Gobi paratha, Curd and Chutni",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Channa Dal Fry, Cabbage Poriyal/ Aloo Gobi Dry, Chilly Potato, Seasonal Fruits (2 types)",—,"Atta/Multigrain Roti, Curd, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Dhokla, Chutney / Sweet Corn Chaat",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Veg Fried Rice, Pindi Chole, Capsicum Masala, Dosa",—,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Fryums,Ghee"
 Friday ,BREAKFAST,"Uttapam, Sambhar, Coconut Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Dal Panchmahal, Cauliflower Fry, Hariyali Kofta",—,"Atta/Multigrain Roti, Lassi , Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Samosa, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Moong Dal,Veg Biriyani, Alu Soyabin Dry,  Milk Barfi/Coconut Barfi",Egg curry,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle,Fryums,Ghee"
 Saturday ,BREAKFAST,"Aloo Pyaz Paratha, Curd, Mint Chutney, Pickle",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Dal Tadka, Cabbage Pakoda, Veg Korma",—,"Atta/Multigrain Roti, Curd, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Pav Bhaji/ Vada Pav, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Plain rice, Urad Dal, Chole Bhature, Aloo Palak",,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle,Fryums, Ghee"
 Sunday ,BREAKFAST,"Masala Dosa, Sambhar, Coconut Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Dal Makhani, Veg Manchurian, Aloo Deep Fry",—,"Atta/Multigrain Roti, Lassi, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad, Ghee"
,SNACKS,"Veg Cutlet, Ketchup",—," Milk(Non-Toned), Tea, Coffee "
,DINNER," Dal Tadka, Aloo Mutter Curry, Gulab Jamun,Raita",Chicken Biryani,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Fryums, Ghee"